time_rel,desired_ee_0,desired_ee_1,desired_ee_2,desired_ee_3,desired_ee_4,desired_ee_5,actual_ee_0,actual_ee_1,actual_ee_2,actual_ee_3,actual_ee_4,actual_ee_5,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_q_6,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,actual_qd_6,stiffness_0,stiffness_1,stiffness_2,stiffness_3,stiffness_4,stiffness_5,damping_0,damping_1,damping_2,damping_3,damping_4,damping_5
24.916654248998384,0.6628100706995327,-0.0599719244084808,0.18578513889408602,-2.8187831758390107,1.0928558099316297,0.1260260538491766,0.6639095544815063,-0.061525214463472366,0.20576146245002747,-2.815740418861045,1.095976665323423,0.09624462540533699,-0.26259130239486694,0.6576976180076599,0.18609577417373657,-1.7283011674880981,0.024519434198737144,2.3460800647735596,0.6120378375053406,-0.0006287878495641053,-0.0021942758467048407,-0.0022851349785923958,0.0003721425891853869,-0.00025556067703291774,0.00026791056734509766,0.00045510122436098754,330.18890237240555,306.7636911903369,404.9993537415101,30.0,30.0,30.0,25.693936456833118,24.76574442877086,28.456178377873584,7.744796963123049,7.744796963123049,7.744796963123049
24.9283343399984,0.662809585041771,-0.05997186584473167,0.18578479797990444,-2.8187820505675645,1.0928543540676345,0.12602909830127876,0.663911759853363,-0.06153305992484093,0.2057773470878601,-2.8157505375958607,1.0959832508993512,0.09620812245697424,-0.2625907063484192,0.6576769351959229,0.18608452379703522,-1.7283011674880981,0.024516794830560684,2.3460755348205566,0.6120440363883972,0.0002765853132586926,-7.124127932911506e-06,-0.0007862310740165412,-2.0120469343964942e-05,0.0004933638265356421,0.00036382125108502805,0.0012135367142036557,330.18890237240555,306.7636911903369,404.9993537415101,30.0,30.0,30.0,25.693936456833118,24.76574442877086,28.456178377873584,7.744796963123049,7.744796963123049,7.744796963123049
24.940586196998993,0.6628102638702241,-0.059965640282078556,0.18578539842415234,-2.8187850280832842,1.092842633293771,0.12602896958915935,0.6639116406440735,-0.061557408422231674,0.2057952582836151,-2.8157555005856865,1.0960380058461883,0.09615619034252335,-0.2625928521156311,0.6576401591300964,0.18603889644145966,-1.7283011674880981,0.02451067417860031,2.346073627471924,0.6120426058769226,0.00022951277787797153,0.0002974510716740042,-1.7976230083149858e-05,0.0007323955651372671,0.00029153574723750353,6.47398192086257e-05,0.0008369376882910728,329.8219856360672,306.07478824222443,401.8144897762288,30.0,30.0,30.0,25.67965651625446,24.73792043225037,28.34406963723863,7.744796963123049,7.744796963123049,7.744796963123049
24.959689468998477,0.662810434041172,-0.059959871428545086,0.1857894226135682,-2.818788828267406,1.0928234316954806,0.12602456348200786,0.6639102697372437,-0.061585135757923126,0.20580509305000305,-2.8157648280731236,1.096095593819048,0.09612280805621047,-0.26258939504623413,0.6576204299926758,0.1860048770904541,-1.7283097505569458,0.02450324408710003,2.3460686206817627,0.6120440363883972,-0.0005004170816391706,-0.001465940265916288,-0.005117862019687891,-0.0011776238679885864,-0.0008953119977377355,-0.00024967524223029613,-0.0005637604626826942,329.8219856360672,306.07478824222443,401.8144897762288,30.0,30.0,30.0,25.67965651625446,24.73792043225037,28.34406963723863,7.744796963123049,7.744796963123049,7.744796963123049
24.971321080998678,0.6628129607685559,-0.05995848771668915,0.185793445936378,-2.8187865099269094,1.0928246158487513,0.12601220367070354,0.6639099717140198,-0.061621617525815964,0.20581862330436707,-2.815770709611692,1.0961649198314363,0.09607838177794911,-0.262603759765625,0.6575881242752075,0.18596087396144867,-1.7283095121383667,0.024498503655195236,2.3460679054260254,0.612047016620636,-0.001569641986861825,-0.0018960508750751615,-0.0017808014526963234,-0.00046835801913402975,-0.0015888616908341646,0.0005808446439914405,0.0002781070943456143,329.4550688997288,305.385885294112,398.6296258109476,30.0,30.0,30.0,25.66536863046861,24.710065105408084,28.231515710778005,7.744796963123049,7.744796963123049,7.744796963123049
24.98922513999969,0.6628120980225396,-0.05996267802899155,0.18579249178678298,-2.818786548823442,1.0928335638412674,0.12601326682185748,0.663911759853363,-0.06164330616593361,0.2058352380990982,-2.8157709283480408,1.0962047818341747,0.096028667168796,-0.26259922981262207,0.6575728058815002,0.1859271377325058,-1.7283048629760742,0.024495583027601242,2.346066474914551,0.6120436787605286,0.00038005999522283673,-0.0013890286209061742,-0.003845849772915244,-0.0006643058732151985,-0.0003716146748047322,-1.4259609997679945e-05,-0.0011447641300037503,329.4550688997288,305.385885294112,398.6296258109476,30.0,30.0,30.0,25.66536863046861,24.710065105408084,28.231515710778005,7.744796963123049,7.744796963123049,7.744796963123049
25.001376597998387,0.662811829727498,-0.05996492613039075,0.1857898838159022,-2.818779527839049,1.0928456756971694,0.1260181841427667,0.6639119386672974,-0.06166386604309082,0.20584918558597565,-2.815780842585502,1.0962471848648283,0.09598687235126603,-0.26260557770729065,0.657539963722229,0.1858919858932495,-1.7283074855804443,0.02449078857898712,2.3460657596588135,0.6120458841323853,-0.0003109490789938718,-0.004575103987008333,-0.001289769192226231,0.000271833676379174,-9.151284757535905e-05,-9.612520807422698e-05,0.0004489821440074593,329.0881521633903,304.69698234599946,395.44476184566633,30.0,30.0,30.0,25.651072786198903,24.682178342169514,28.11851125246815,7.744796963123049,7.744796963123049,7.744796963123049
25.018383079999694,0.6628118616234541,-0.059964318210076854,0.18578855761927582,-2.818788467043532,1.092834617676975,0.12601919447383603,0.6639130711555481,-0.06167127564549446,0.20585863292217255,-2.81578677096999,1.096256252484945,0.09595865199450973,-0.26260071992874146,0.6575241684913635,0.18587268888950348,-1.728306531906128,0.024485204368829727,2.3460657596588135,0.6120418310165405,-0.0008708862587809563,-0.0008527957834303379,-0.004778064321726561,-0.001106289797462523,-0.0003711323661264032,-8.734236325835809e-05,-0.0012916058767586946,329.0881521633903,304.69698234599946,395.44476184566633,30.0,30.0,30.0,25.651072786198903,24.682178342169514,28.11851125246815,7.744796963123049,7.744796963123049,7.744796963123049
25.028752768999766,0.6628101752747596,-0.059964461621325064,0.1857848865710946,-2.818785281171524,1.0928381224018702,0.12603073508923263,0.663913905620575,-0.061678819358348846,0.20586787164211273,-2.8157908075520877,1.096263861557731,0.09593643677781906,-0.26260364055633545,0.6575055122375488,0.18586555123329163,-1.7283045053482056,0.024483056738972664,2.346064805984497,0.6120488047599792,0.0012602057540789247,-0.0037594428285956383,-0.0003334175853524357,-2.8479218599386513e-05,0.0004346796777099371,-0.00021822027338203043,0.0014145756140351295,329.0881521633903,304.69698234599946,395.44476184566633,30.0,30.0,30.0,25.651072786198903,24.682178342169514,28.11851125246815,7.744796963123049,7.744796963123049,7.744796963123049
25.0402935789989,0.6628108296271354,-0.05996485903901017,0.185786135176975,-2.8187858474643814,1.0928374590217587,0.12602714663303918,0.6639169454574585,-0.06169616058468819,0.20588965713977814,-2.8157975904519987,1.0962963401631731,0.09587426348225973,-0.26260462403297424,0.6574769020080566,0.1858423352241516,-1.7283028364181519,0.024475209414958954,2.346066474914551,0.6120466589927673,0.0008792385342530906,-0.0044939336366951466,-0.0011292318813502789,-3.1784388738742564e-06,-0.0003677080094348639,0.0003038993163499981,0.00038190404302440584,328.7212354270519,304.008079397887,392.2598978803851,30.0,30.0,30.0,25.636768970131666,24.654260035860283,28.005050808424727,7.744796963123049,7.744796963123049,7.744796963123049
